Date,Close,High,Low,Open,Volume
13 April 2015,28.33,28.71,28.28,28.67,145460400
14 April 2015,28.21,28.43,28.12,28.36,102098400
15 April 2015,28.31,28.39,28.14,28.23,115881600
16 April 2015,28.18,28.38,28.16,28.2,113476000
17 April 2015,27.86,28.17,27.8,28.04,207828000
20 April 2015,28.5,28.61,27.95,28.04,188217200
21 April 2015,28.34,28.63,28.29,28.61,129740400
22 April 2015,28.72,28.78,28.21,28.36,150618000
23 April 2015,28.96,29.13,28.62,28.65,183083600
24 April 2015,29.1,29.17,28.86,29.14,178103600
27 April 2015,29.62,29.73,29.29,29.55,387816800
28 April 2015,29.16,30.05,28.94,30.03,475696000
29 April 2015,28.73,29.39,28.65,29.07,253544400
30 April 2015,27.95,28.73,27.82,28.73,332781600
01 May 2015,28.8,29.06,27.98,28.16,234050400
04 May 2015,28.74,29.16,28.64,28.92,203953200
05 May 2015,28.09,28.69,28.09,28.62,197085600
06 May 2015,27.92,28.31,27.55,28.26,288564000
07 May 2015,28.09,28.27,27.81,27.98,175763600
08 May 2015,28.62,28.62,28.28,28.41,222201600
11 May 2015,28.33,28.61,28.17,28.57,168143200
12 May 2015,28.23,28.45,27.99,28.17,192640000
13 May 2015,28.26,28.52,28.23,28.29,138776800
14 May 2015,28.92,28.92,28.52,28.57,180814000
15 May 2015,28.88,29.04,28.75,28.95,152832000
18 May 2015,29.2,29.32,28.79,28.79,203531600
19 May 2015,29.17,29.35,29.07,29.31,178532800
20 May 2015,29.17,29.37,29.01,29.15,145819600
21 May 2015,29.47,29.52,29.12,29.17,158921600
22 May 2015,29.72,29.82,29.47,29.51,182384000
26 May 2015,29.07,29.81,28.96,29.74,282790400
27 May 2015,29.61,29.66,29.17,29.23,183332800
28 May 2015,29.55,29.59,29.4,29.57,122933200
29 May 2015,29.22,29.48,29.13,29.43,203538000
01 June 2015,29.27,29.47,29.17,29.22,128451200
02 June 2015,29.14,29.3,29,29.12,134670400
03 June 2015,29.18,29.36,29.13,29.3,123934000
04 June 2015,29.01,29.28,28.91,29.06,153800400
05 June 2015,28.85,29.08,28.79,29.04,142507200
08 June 2015,28.66,28.98,28.44,28.91,210699200
09 June 2015,28.58,28.72,28.17,28.41,224301600
10 June 2015,28.9,29.01,28.67,28.69,156349200
11 June 2015,28.84,29.19,28.81,28.97,141563600
12 June 2015,28.52,28.78,28.51,28.75,147544800
15 June 2015,28.46,28.53,28.19,28.28,175955600
16 June 2015,28.62,28.67,28.34,28.49,125976400
17 June 2015,28.55,28.68,28.42,28.64,131672400
18 June 2015,28.68,28.77,28.53,28.53,141628800
19 June 2015,28.39,28.66,28.35,28.64,218867600
22 June 2015,28.62,28.72,28.5,28.59,136157200
23 June 2015,28.49,28.62,28.45,28.59,121075600
24 June 2015,28.73,29.11,28.51,28.53,221123600
25 June 2015,28.59,28.97,28.59,28.9,127752400
26 June 2015,28.43,28.7,28.37,28.63,176267200
29 June 2015,27.93,28.36,27.92,28.14,196645600
30 June 2015,28.13,28.28,28,28.16,177482800
01 July 2015,28.39,28.47,28.25,28.46,120955200
02 July 2015,28.36,28.41,28.21,28.35,108844000
06 July 2015,28.26,28.31,28,28.02,112241600
07 July 2015,28.19,28.29,27.76,28.23,187787200
08 July 2015,27.49,27.95,27.48,27.92,243046400
09 July 2015,26.93,27.82,26.74,27.77,314380000
10 July 2015,27.65,27.77,27.18,27.35,245418000
13 July 2015,28.18,28.2,27.88,28.04,165762000
14 July 2015,28.17,28.34,28.04,28.27,127072400
15 July 2015,28.44,28.51,28.16,28.19,134596800
16 July 2015,28.82,28.83,28.56,28.65,144889600
17 July 2015,29.07,29.07,28.77,28.95,184658800
20 July 2015,29.62,29.82,29.31,29.37,235600800
21 July 2015,29.32,29.81,29.23,29.79,307025600
22 July 2015,28.08,28.14,27.36,27.36,461802400
23 July 2015,28.07,28.5,28.05,28.3,203998000
24 July 2015,27.92,28.2,27.79,28.1,168649200
27 July 2015,27.53,27.72,27.39,27.6,177822000
28 July 2015,27.67,27.79,27.48,27.67,134472400
29 July 2015,27.58,27.7,27.42,27.62,148046800
30 July 2015,27.44,27.49,27.29,27.43,134513200
31 July 2015,27.2,27.5,27.12,27.49,171540000
03 August 2015,26.56,27.49,26.36,27.25,279904000
04 August 2015,25.71,26.4,25.4,26.33,496554400
05 August 2015,25.88,26.34,25.14,25.33,397250400
06 August 2015,25.94,26.24,25.71,26.13,211612000
07 August 2015,26.02,26.19,25.79,25.81,154681600
10 August 2015,26.97,27.03,26.25,26.25,219806400
11 August 2015,25.57,26.62,25.53,26.54,388331200
12 August 2015,25.96,26,24.7,25.35,404870000
13 August 2015,25.94,26.22,25.8,26.14,194143200
14 August 2015,26.12,26.2,25.68,25.75,171718000
17 August 2015,26.39,26.5,26.02,26.14,163538800
18 August 2015,26.24,26.46,26.13,26.23,138242800
19 August 2015,25.91,26.25,25.83,26.15,193146000
20 August 2015,25.38,25.76,25.15,25.7,274006400
21 August 2015,23.83,25.21,23.8,24.88,513102000
24 August 2015,23.23,24.51,20.73,21.37,648825200
25 August 2015,23.37,25.03,23.32,25.03,414406400
26 August 2015,24.71,24.76,23.67,24.12,387098400
27 August 2015,25.44,25.51,24.78,25.28,338464400
28 August 2015,25.52,25.53,25.13,25.27,212657600
31 August 2015,25.4,25.8,25.23,25.24,224917200
01 September 2015,24.27,25.2,24.19,24.81,307383600
02 September 2015,25.31,25.31,24.58,24.83,247555200
03 September 2015,24.86,25.41,24.79,25.34,212935600
04 September 2015,24.62,24.88,24.44,24.55,199985200
08 September 2015,25.3,25.36,24.85,25.17,219374400
09 September 2015,24.81,25.69,24.73,25.63,340043200
10 September 2015,25.36,25.52,24.76,24.84,251571200
11 September 2015,25.73,25.73,25.18,25.18,199662000
14 September 2015,25.98,26.33,25.88,26.26,233453600
15 September 2015,26.2,26.25,25.78,26.12,173364800
16 September 2015,26.22,26.25,26.01,26.19,148694000
17 September 2015,25.66,26.24,25.62,26.06,256450400
18 September 2015,25.56,25.75,25.2,25.28,297141200
21 September 2015,25.95,25.99,25.6,25.61,200888000
22 September 2015,25.55,25.72,25.35,25.54,201384800
23 September 2015,25.75,25.84,25.52,25.6,143026800
24 September 2015,25.91,26.02,25.31,25.51,200878000
25 September 2015,25.84,26.29,25.69,26.23,224607600
28 September 2015,25.33,25.81,25.33,25.65,208436000
29 September 2015,24.57,25.57,24.3,25.42,293461600
30 September 2015,24.85,25.13,24.49,24.82,265892000
01 October 2015,24.69,24.69,24.17,24.57,255716400
02 October 2015,24.87,25.01,24.23,24.33,232079200
05 October 2015,24.96,25.09,24.57,24.75,208258800
06 October 2015,25.08,25.17,24.73,24.92,192787200
07 October 2015,24.96,25.18,24.65,25.17,187062400
08 October 2015,24.67,24.82,24.38,24.82,247918400
09 October 2015,25.26,25.29,24.67,24.78,211064400
12 October 2015,25.14,25.4,25.1,25.4,121868800
13 October 2015,25.18,25.33,24.93,24.97,132197200
14 October 2015,24.83,25.12,24.68,25.07,177849600
15 October 2015,25.2,25.25,24.89,24.99,150694000
16 October 2015,25.01,25.23,24.9,25.18,156930400
19 October 2015,25.17,25.17,24.81,24.96,119036800
20 October 2015,25.63,25.72,24.97,25.08,195871200
21 October 2015,25.63,26.04,25.61,25.68,167180800
22 October 2015,26.02,26.02,25.7,25.76,166616400
23 October 2015,26.83,26.86,26.21,26.29,237467600
26 October 2015,25.97,26.61,25.89,26.6,265335200
27 October 2015,25.81,26.25,25.68,26,279537600
28 October 2015,26.87,26.88,26.15,26.34,342205600
29 October 2015,27.15,27.19,26.64,26.74,204909200
30 October 2015,26.92,27.31,26.91,27.26,197461200
02 November 2015,27.3,27.34,26.95,27.21,128813200
03 November 2015,27.61,27.82,27.19,27.21,182076000
04 November 2015,27.48,27.89,27.4,27.74,179544400
05 November 2015,27.36,27.76,27.19,27.57,158210800
06 November 2015,27.39,27.56,27.29,27.4,132169200
09 November 2015,27.28,27.56,27.16,27.37,135485600
10 November 2015,26.42,26.71,26.26,26.45,236511600
11 November 2015,26.27,26.57,26.07,26.33,180872000
12 November 2015,26.18,26.43,26.16,26.3,130102400
13 November 2015,25.42,26.15,25.4,26.06,183249600
16 November 2015,25.83,25.85,25.11,25.2,152426800
17 November 2015,25.72,26.03,25.64,26,110467600
18 November 2015,26.54,26.58,26.13,26.19,186698800
19 November 2015,26.87,27.09,26.42,26.61,173183200
20 November 2015,26.99,27.13,26.89,26.97,137148400
23 November 2015,26.64,27.09,26.55,26.98,129930000
24 November 2015,26.9,27,26.5,26.54,171212800
25 November 2015,26.7,26.97,26.68,26.97,85553200
27 November 2015,26.65,26.79,26.61,26.76,52185600
30 November 2015,26.76,27.02,26.64,26.69,156721200
01 December 2015,26.55,26.88,26.44,26.87,139409600
02 December 2015,26.31,26.72,26.26,26.55,133546400
03 December 2015,26.06,26.42,25.84,26.37,166278000
04 December 2015,26.93,26.98,26.04,26.08,231108000
07 December 2015,26.76,27.12,26.65,26.92,128336800
08 December 2015,26.75,26.83,26.44,26.59,137238000
09 December 2015,26.16,26.63,26.04,26.61,185445600
10 December 2015,26.28,26.46,26.13,26.25,116850800
11 December 2015,25.61,26.11,25.53,26.06,187544800
14 December 2015,25.45,25.49,24.84,25.38,257274800
15 December 2015,25,25.52,24.97,25.33,213292400
16 December 2015,25.19,25.34,24.61,25.13,224954000
17 December 2015,24.66,25.4,24.66,25.34,179091200
18 December 2015,23.99,24.78,23.94,24.64,385813200
21 December 2015,24.28,24.29,23.88,24.27,190362400
22 December 2015,24.26,24.37,24.08,24.3,131157600
